 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | Blim-MT
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | F-AGE-yr-yr
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | Ftarget-1/yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | MSY-MT
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | VB-k-cm/T
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | F-CALC-0-1-2
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSBmin-ratio
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | VB-t0-yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | BH-h-dimensionless
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSB-SEX-sex
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | REC-AGE-yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | F-SEX-sex
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | Blim-MT
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | Ftarget-1/yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSBmsy-E06larvae
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | TB-AGE-yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | TB-TYPE-0-1
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | Fmsy-1/yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | R0-E03
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSBtarget-E06larvae
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SPRtarget-ratio
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | M-1/yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | L50-cm
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | LEN-SEX-sex
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSB0-E06larvae
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | F-AGE-yr-yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | REC-AGE-yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSB-SEX-sex
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | F-AGE-yr-yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | VB-k-cm/T
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | Blim-E09eggs
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | MSY-MT
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSBtarget-E09eggs
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | F-SEX-sex
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | TB-TYPE-0-1
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | TB-AGE-yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | F-CALC-0-1-2
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | Fmsy-1/yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSBmsy-E09eggs
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | M-1/yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | BH-h-dimensionless
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | R0-E03
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSB0-E09eggs
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SPRtarget-ratio
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | Ftarget-1/yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSBmin-ratio
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | VB-t0-yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | R0-E03
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | TB-TYPE-0-1
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | F-SEX-sex
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SSB-SEX-sex
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SSBmin-ratio
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SPRtarget-ratio
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | Ftarget-1/yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | Bmsy-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | BH-h-dimensionless
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | M-1/yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SSBtarget-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SSB0-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | F-CALC-0-1-2
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | F-AGE-yr-yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | REC-AGE-yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | TB-AGE-yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | Blim-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | Fmsy-1/yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | Ftarget-1/yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | TB-TYPE-0-1
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SSBmin-ratio
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | M-1/yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | Fmsy-1/yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | TB-AGE-yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SSBtarget-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | Bmsy-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | VB-t0-yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | VB-k-cm/T
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SPRtarget-ratio
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | REC-AGE-yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SSB-SEX-sex
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | Blim-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | BH-h-dimensionless
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | F-CALC-0-1-2
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SSB0-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | F-SEX-sex
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | R0-E03
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | F-AGE-yr-yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | R0-E03
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | M-1/T
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSB-SEX-sex
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | REC-AGE-yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | BH-h-dimensionless
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSBtarget-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | F-AGE-yr-yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | F-CALC-0-1-2
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | L50-cm
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SPRtarget-ratio
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | Flim-1/yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | LW-a-kg/cm
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSBmsy-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSB0-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | LW-b-dimensionless
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | TB-AGE-yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | Ftarget-1/yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSBmin-ratio
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | Blim-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | TB-TYPE-0-1
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | F-SEX-sex
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | Fmsy-1/yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | REC-AGE-yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | TB-AGE-yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | VB-k-cm/T
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | MSY-MT
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | BH-h-dimensionless
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | TB-TYPE-0-1
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | Ftarget-1/yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | F-CALC-0-1-2
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSB0-E08eggs
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | LW-a-kg/mm
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | Blim-MT
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | Fmsy-1/yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | M-1/yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | R0-E03
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SPRtarget-ratio
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | VB-t0-yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSBmin-ratio
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | L50-cm
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | F-AGE-yr-yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSBmsy-E08eggs
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | F-SEX-sex
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSBtarget-E08eggs
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | LW-b-dimensionless
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSB-SEX-sex
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | REC-AGE-yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSBtarget-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | R0-E03
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | F-AGE-yr-yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | TB-TYPE-0-1
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | Fmsy-1/yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | L50max-cm
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSBmin-ratio
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | F-SEX-sex
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SPRtarget-ratio
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | F-CALC-0-1-2
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | Bmsy-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSB-AGE-yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | L50-cm
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | Ftarget-1/yr
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | L50min-cm
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSB0-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | Blim-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | BH-h-dimensionless
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSB-SEX-sex
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SSBtarget-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | VB-k-cm/T
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | F-SEX-sex
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | TB-TYPE-0-1
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | Fmsy-1/yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SSBmin-ratio
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | F-AGE-yr-yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | Bmsy-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | R0-E03
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SSB-SEX-sex
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | VB-t0-yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SPRtarget-ratio
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | BH-h-dimensionless
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | LW-a-kg/cm
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | Blim-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | F-CALC-0-1-2
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | LW-b-dimensionless
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | TB-AGE-yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | M-1/yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | MSY-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | L50-cm
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SSB0-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | Ftarget-1/yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | REC-AGE-yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SSB0-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | BH-h-dimensionless
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | REC-AGE-yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | Blim-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | Ftarget-1/yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SSBtarget-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | TB-AGE-yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | F-CALC-0-1-2
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | Bmsy-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | Fmsy-1/yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SPRtarget-ratio
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | F-AGE-yr-yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | TB-TYPE-0-1
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | R0-E09
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | F-SEX-sex
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | LW-b-dimensionless
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SSB-SEX-sex
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SSBmin-ratio
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | M-1/yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | L50-cm
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | LW-a-kg/cm
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | BH-h-dimensionless
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | TB-AGE-yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SSBmin-ratio
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | M-1/yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | F-SEX-sex
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SSBtarget-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | LW-b-dimensionless
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SSB0-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | LW-a-kg/cm
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | R0-E06
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | REC-AGE-yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | TB-TYPE-0-1
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | Fmsy-1/yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | Ftarget-1/yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | Bmsy-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | F-AGE-yr-yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SSB-SEX-sex
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SPRtarget-ratio
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | Blim-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | F-CALC-0-1-2
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SPRtarget-ratio
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | TB-TYPE-0-1
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | F-CALC-0-1-2
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | Fmsy-1/yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | TB-AGE-yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | L50-cm
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | Bmsy-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | M-1/yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | F-SEX-sex
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SSB0-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | MSY-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | BH-h-dimensionless
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | VB-k-cm/T
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | LW-a-kg/mm
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | Ftarget-1/yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SSB-SEX-sex
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | F-AGE-yr-yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | LW-b-dimensionless
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | Blim-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | VB-t0-yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SSBmin-ratio
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SSBtarget-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | REC-AGE-yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | R0-E03
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSBtarget-E06eggs
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | F-CALC-0-1-2
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | TB-TYPE-0-1
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSBmin-ratio
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | VB-t0-yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SPRtarget-ratio
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSB0-E06eggs
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | Fmsy-1/yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | M-1/yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | VB-k-cm/T
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | BH-h-dimensionless
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | Blim-MT
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | F-AGE-yr-yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | REC-AGE-yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSBmsy-E06eggs
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | Ftarget-1/yr
