Assessid,Stockid,Large Marine Ecosystem,Scientific name,Fisheries stock,Bmsy,Btype,Comment,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Minimum
NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN,PAUAPAU5B,New Zealand Shelf,Haliotis iris,Paua New Zealand Area PAU5B,1539.47,Surplus production fit,,,,,,,,,,,,,,,2.054,2.05,2.041,2.026,2.006,1.981,1.953,1.92,1.884,1.845,1.803,1.752,1.702,1.666,1.639,1.599,1.56,1.521,1.465,1.44,1.436,1.39,1.376,1.399,1.396,1.359,1.29,1.193,1.081,0.976,0.907,0.856,0.807,0.776,0.74,0.714,0.707,0.719,0.761,0.837,0.921,0.978,1.01,1.017,1.017,,0.707
NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN,PAUAPAU5D,New Zealand Shelf,Haliotis iris,Paua New Zealand Area PAU5D,904.779,Surplus production fit,,,,,,,,,,,,,,,,2.16,2.157,2.147,2.13,2.108,2.08,2.047,2.01,1.969,1.925,1.872,1.818,1.768,1.715,1.638,1.545,1.441,1.317,1.213,1.125,1.016,0.937,0.919,0.933,0.94,0.984,1.042,1.049,1.01,0.964,0.94,0.908,0.86,0.814,0.77,0.713,0.662,0.606,0.536,0.474,0.448,0.437,0.442,,,0.437
NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN,PAUAPAU7,New Zealand Shelf,Haliotis iris,Paua New Zealand Area PAU7,1977.13,Surplus production fit,,,,,,,,,,,,,,,,2.094,2.09,2.079,2.061,2.037,2.008,1.975,1.939,1.898,1.854,1.812,1.77,1.74,1.694,1.645,1.576,1.498,1.363,1.198,1.071,0.977,0.94,0.918,0.928,0.925,0.912,0.912,0.878,0.846,0.811,0.765,0.721,0.661,0.608,0.573,0.538,0.519,0.53,0.578,0.62,0.694,0.761,0.807,0.844,0.874,0.519
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2006-JENSEN,GEMFISHNZ,New Zealand Shelf,Rexea solandri,Common gemfish ,1803.026167,SSB mt,Cordue obtained directly,,,6.351,6.34,6.319,6.307,6.296,6.281,6.275,6.266,6.246,6.231,6.221,6.204,6.191,6.156,6.122,6.048,5.972,5.828,5.691,5.558,5.429,5.396,5.399,5.444,5.474,5.494,5.48,5.465,5.362,5.258,5.216,4.871,4.453,4.24,3.98,3.721,3.799,3.932,4.158,4.552,4.78,4.678,4.349,4.015,3.615,3.003,2.614,2.413,2.072,1.835,1.724,1.614,1.567,1.576,1.636,,,1.567
NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS,HOKIENZ,New Zealand Shelf,Macruronus novaezelandiae,Hoki Eastern New Zealand,660648,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,2.018,2.015,2.009,1.974,1.943,1.587,1.971,2.003,2.721,2.535,1.921,1.844,1.629,1.84,1.952,1.938,1.506,2.524,2.957,2.411,1.643,1.869,1.939,1.722,2.093,1.392,1.288,1.63,1.338,0.807,1.432,0.952,1.139,1.345,1.412,1.111,,0.807
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,HOKIWNZ,New Zealand Shelf,Macruronus novaezelandiae,Hoki Western New Zealand,1083490,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,1.932,1.927,1.923,1.91,1.888,1.688,2.024,2.151,2.221,1.991,1.96,2.142,1.989,2.456,2.492,2.026,1.464,2.303,2.011,1.458,1.058,1.58,2.069,1.715,1.923,1.413,1.221,1.006,0.783,0.57,0.539,0.343,0.673,0.625,0.561,0.505,,0.343
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,NZSNAPNZ8,New Zealand Shelf,Chrysophrys auratus,New Zealand snapper New Zealand SNA8,23536.1148,SSB mt,Cordue obtained directly,4.565,4.547,4.527,4.507,4.445,4.385,4.322,4.255,4.169,4.105,4.02,3.932,3.847,3.757,3.662,3.58,3.418,3.228,3.056,2.897,2.717,2.55,2.38,2.162,1.983,1.705,1.51,1.169,0.962,0.786,0.763,0.65,0.552,0.463,0.418,0.387,0.337,0.322,0.394,0.487,0.494,0.527,0.511,0.446,0.464,0.464,0.45,0.437,0.443,0.451,0.443,0.458,0.439,0.417,0.407,0.353,,,,0.322
NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN,SMOOTHOREOWECR,New Zealand Shelf,Pseudocyttus maculatus,Smooth oreo west end of Chatham Rise,62066.3,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,2.073,2.017,1.95,1.906,1.873,1.807,1.769,1.737,1.694,1.683,1.672,1.639,1.593,1.556,1.529,1.482,1.407,1.33,1.271,1.212,1.161,1.124,1.089,1.062,1.044,1.021,1.003,1.009,1.021,1.034,1.047,1.061,,,,,1.003
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,SBWHITACIR,New Zealand Shelf,Micromesistius australis,Southern blue whiting Campbell Island Rise,93604.5,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863,0.701,0.684,0.775,0.806,0.778,0.77,0.7,0.657,0.686,0.578,0.518,0.441,0.393,0.914,1.187,1.342,1.445,1.543,1.405,1.283,1.287,1.147,0.991,0.919,0.958,0.849,0.856,,,0.393
NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN,SOUTHHAKECR,New Zealand Shelf,Merluccius australis,Southern hake Chatham Rise,7786.9455,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,,,,4.869,4.834,4.738,4.67,4.641,4.581,4.539,4.571,4.71,4.91,5.135,5.385,5.604,5.729,5.736,5.624,5.442,5.184,4.829,4.432,4.083,3.839,3.709,3.676,3.555,3.339,3.143,2.959,2.797,2.519,2.079,1.768,,,1.768
NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN,SOUTHHAKESA,New Zealand Shelf,Merluccius australis,Southern hake Sub-Antarctic,14153.0846,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,,,,4.656,4.643,4.62,4.573,4.508,4.428,4.35,4.349,4.486,4.778,5.228,5.795,6.33,6.632,6.633,6.388,5.972,5.471,4.947,4.524,4.22,3.955,3.769,3.665,3.582,3.497,3.414,3.352,3.296,3.218,3.134,3.049,2.911,,2.911
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,TREVALLYTRE7,New Zealand Shelf,Pseudocaranx dentex,Trevally New Zealand Area TRE7,15634.89433,SSB mt,Cordue obtained directly,3.631,3.628,3.625,3.619,3.61,3.6,3.587,3.567,3.537,3.505,3.468,3.429,3.395,3.356,3.324,3.345,3.379,3.31,3.162,3.022,2.926,2.873,2.802,2.649,2.466,2.34,2.246,2.128,1.979,1.811,1.692,1.652,1.647,1.656,1.647,1.615,1.569,1.518,1.477,1.526,1.662,1.782,1.847,1.869,1.85,1.763,1.627,1.516,1.456,1.421,1.408,1.406,1.435,1.47,1.46,1.437,,,,1.406
DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE,AMPL23K,Newfoundland-Labrador Shelf,Hippoglossoides platessoides,American plaice NAFO 23K,69328.1,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.795,2.808,3.347,3.677,4.443,4.407,3.4,2.536,2.392,1.657,1.704,1.839,1.099,0.641,0.324,0.363,0.298,0.194,0.247,0.24,0.281,0.239,0.209,0.175,0.098,0.116,0.142,,,,,0.098
NAFO-SC-AMPL3LNO-YEAR-2007-BAUM,AMPL3LNO,Newfoundland-Labrador Shelf,Hippoglossoides platessoides,American plaice NAFO 3LNO,562335,Surplus production fit,Jense-added late,,,,,,,,,,,0.684,0.725,0.752,0.802,0.887,0.971,1,0.986,0.86,0.763,0.656,0.587,0.566,0.557,0.561,0.614,0.637,0.644,0.632,0.625,0.624,0.587,0.549,0.594,0.601,0.579,0.476,0.427,0.409,0.343,0.247,0.206,0.14,0.081,0.041,0.042,0.041,0.038,0.041,0.043,0.048,0.05,0.049,0.064,0.07,0.077,0.078,0.09,,0.038
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,COD3Ps,Newfoundland-Labrador Shelf,Gadus morhua,Atlantic cod NAFO 3Ps,202572,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.563,0.544,0.58,0.642,0.622,0.73,0.925,1,0.849,0.693,0.595,0.558,0.533,0.427,0.287,0.161,0.164,0.26,0.37,0.434,0.46,0.463,0.426,0.452,0.472,0.478,0.485,,,,,0.161
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,COD3Pn4RS,Newfoundland-Labrador Shelf,Gadus morhua,Atlantic cod NAFO 3Pn4RS,602506,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,0.502,0.54,0.634,0.644,0.765,0.728,0.86,0.932,0.93,1,0.896,0.887,0.845,0.533,0.466,0.351,0.298,0.187,0.12,0.068,0.044,0.054,0.066,0.086,0.079,0.099,0.083,0.078,0.071,0.064,0.092,0.098,0.089,0.112,,0.044
NAFO-SC-COD3NO-1953-2007-BAUM,COD3NO,Newfoundland-Labrador Shelf,Gadus morhua,Atlantic cod NAFO 3NO,395479,Surplus production fit,,,,,,,,,,,0.522,0.483,0.464,0.474,0.57,0.641,0.722,0.89,1,0.81,0.613,0.588,0.608,0.511,0.449,0.31,0.156,0.116,0.15,0.225,0.248,0.257,0.343,0.38,0.406,0.443,0.406,0.377,0.325,0.232,0.176,0.142,0.097,0.052,0.034,0.02,0.015,0.019,0.021,0.021,0.023,0.026,0.032,0.032,0.028,0.018,0.021,0.022,0.025,,0.015
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,GHAL23KLMNO,Newfoundland-Labrador Shelf,Reinhardtius hippoglossoides,Greenland halibut NAFO 23KLMNO,194545,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,0.691,0.807,0.862,0.836,0.673,0.593,0.624,0.631,0.592,0.761,0.71,0.846,0.869,0.936,1.059,1.153,0.987,0.761,0.528,0.395,0.395,0.38,0.448,0.527,0.569,0.574,0.504,0.46,0.385,0.388,0.393,,,0.38
NAFO-SC-REDFISHSPP3LN-1959-2007-PREFONTAINE,REDFISHSPP3LN,Newfoundland-Labrador Shelf,Redfish species,Redfish species NAFO 3LN,136000,Surplus production fit,,,,,,,,,,,1.685,1.479,1.434,1.418,1.418,1.376,1.457,1.436,1.462,1.415,1.44,1.413,1.46,1.365,1.322,1.254,1.271,1.315,1.337,1.382,1.45,1.493,1.514,1.476,1.465,1.467,1.501,1.491,1.335,0.944,0.746,0.681,0.644,0.628,0.598,0.61,0.746,0.924,1.118,1.299,1.455,1.574,1.662,1.738,1.796,1.836,1.868,1.89,1.909,,0.598
WGBFAS-CODKAT-1970-2006-MINTO,CODKAT,North Sea,Gadus morhua,Atlantic cod Kattegat,42492.8,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,1.126,1.216,1.339,0.957,0.803,0.915,0.885,0.766,0.757,0.692,0.589,0.471,0.487,0.49,0.441,0.355,0.312,0.223,0.267,0.202,0.233,0.262,0.31,0.386,0.339,0.241,0.327,0.237,0.211,0.165,0.17,0.135,0.093,0.112,0.15,0.188,,,0.093
WGNSSK-CODNS-1962-2007-MINTO,CODNS,North Sea,Gadus morhua,Atlantic cod North Sea,836309,Surplus production fit,,,,,,,,,,,,,,,0.494,0.577,0.754,0.908,0.957,0.859,0.7,1.037,1.27,0.933,0.738,0.713,0.783,0.71,1.021,0.881,1.053,1.386,0.939,0.923,0.714,0.932,0.572,0.876,0.646,0.491,0.549,0.372,0.347,0.514,0.439,0.639,0.645,0.516,0.669,0.413,0.295,0.303,0.215,0.267,0.178,0.155,0.155,0.187,,,0.155
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,SOLEIIIa,North Sea,Solea vulgaris,Common European sole ICES Kattegat and Skagerrak,3800.76,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,0.585,0.753,0.786,0.772,0.898,1.106,1.203,1.767,1.542,1.394,1.171,1.051,0.842,0.826,0.792,0.767,0.867,1.054,1.159,1.393,1.294,1.247,,,0.366
WGNSSK-HADNS-IIIa-1963-2006-MINTO,HADNS-IIIa,North Sea,Melanogrammus aeglefinus,Haddock ICES IIIa and North Sea,1417960,Surplus production fit,,,,,,,,,,,,,,,2.4,0.905,0.755,1.033,3.869,4.813,1.745,1.796,1.783,1.546,2.906,3.368,1.681,0.779,0.75,0.78,0.938,1.008,0.686,0.757,1.575,1.176,0.827,1.382,0.728,0.43,0.431,1.072,1.082,0.935,0.687,0.997,0.775,0.687,0.603,0.506,1.939,2.127,0.665,0.448,0.394,0.407,1.68,0.733,,,0.394
HAWG-HERRNS-1960-2007-MINTO,HERRNS,North Sea,Clupea harengus,Herring North Sea,3514600,Surplus production fit,,,,,,,,,,,,1.065,1.24,1.251,1.315,1.364,1.235,0.943,0.802,0.717,0.542,0.547,0.526,0.441,0.329,0.26,0.194,0.102,0.06,0.064,0.109,0.18,0.33,0.525,0.774,0.816,0.986,0.989,1.121,1.019,0.943,0.848,0.773,0.694,0.718,0.577,0.523,0.46,0.552,0.582,0.66,0.813,0.919,1.121,1.035,0.947,0.808,0.653,,,0.06
WGNSSK-NPOUTNS-1983-2007-MINTO,NPOUTNS,North Sea,Trisopterus esmarkii,Norway pout North Sea,659067,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.886,1.738,0.973,1.098,0.9,0.868,1.165,1.124,1.655,1.594,0.944,1.648,1.815,1.718,1.564,0.977,1.518,1.579,0.917,0.711,0.438,0.326,0.684,0.9,,,0.326
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,POLLNS-VI-IIIa,North Sea,Pollachius virens,"Haddock ICES IIIa, VI and North Sea",1018510,Surplus production fit,,,,,,,,,,,,,,,,,,,0.388,0.511,0.682,0.874,1,0.887,0.832,0.819,0.73,0.739,0.5,0.455,0.411,0.389,0.486,0.502,0.458,0.457,0.481,0.477,0.377,0.313,0.251,0.256,0.274,0.27,0.317,0.308,0.449,0.438,0.46,0.38,0.395,0.403,0.488,0.502,0.481,0.486,0.517,0.575,,,0.251
WGNSSK-SEELNS-1983-2007-MINTO,SEELNS,North Sea,Ammodytes marinus,Sandeel North Sea,1904410,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,1.229,0.845,1.435,1.55,1,0.991,0.667,0.868,1.098,0.903,1.282,2.016,1.137,2.854,1.295,0.917,0.939,0.688,1.173,0.32,0.448,0.289,0.635,0.919,,0.289
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,WHITNS-VIId-IIIa,North Sea,Merlangius merlangus,"Whiting ICES IIIa, VIId and North Sea",298566,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.805,2.134,1.65,1.719,1.626,1.479,2.225,1.802,1.403,1.88,1.615,1.53,1.366,1.261,1.204,1.21,0.988,0.803,0.763,0.854,1.187,0.978,0.882,0.599,0.584,0.463,0.506,,,0.463
RIDEM-LOBSTERRI-1959-2007-COLLIE,LOBSTERRI,Northeast U.S. Shelf,Homarus americanus,American lobster Rhode Island,5662,Surplus production fit,,,,,,,,,,,0.058,0.068,0.074,0.092,0.123,0.169,0.212,0.303,0.383,0.44,0.439,0.394,0.354,0.381,0.454,0.423,0.398,0.343,0.27,0.235,0.19,0.175,0.27,0.275,0.27,0.314,0.326,0.38,0.401,0.501,0.69,0.808,0.79,0.752,0.79,0.761,0.867,0.979,0.914,0.857,0.715,0.572,0.449,0.363,0.357,0.392,0.46,0.516,0.606,,0.058
NEFSC-AMPL5YZ-1960-2008-OBRIEN,AMPL5YZ,Northeast U.S. Shelf,Hippoglossoides platessoides,American plaice NAFO 5YZ,22243,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.655,1.267,1.111,0.935,0.831,0.504,0.368,0.374,0.377,0.354,0.367,0.482,0.52,0.459,0.445,0.36,0.382,0.462,0.506,0.439,0.473,0.479,0.413,0.398,0.385,0.417,0.53,0.704,,0.354
DFO-COD5Zjm-1978-2003-PREFONTAINE,COD5Zjm,Northeast U.S. Shelf,Gadus morhua,Atlantic cod NAFO 5Zjm,49111.7,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,0.793,0.867,0.926,1,0.873,0.745,0.727,0.702,0.879,0.986,0.895,0.999,0.782,0.61,0.445,0.267,0.211,0.277,0.313,0.293,0.367,0.384,0.404,0.34,0.281,,,,,,0.211
NEFSC-CODGB-1960-2008-BAUM,CODGB,Northeast U.S. Shelf,Gadus morhua,Atlantic cod Georges Bank,148084,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,0.577,0.614,0.588,0.561,0.55,0.46,0.392,0.35,0.42,0.487,0.45,0.433,0.353,0.254,0.197,0.125,0.125,0.133,0.129,0.129,0.139,0.149,0.168,0.13,0.089,0.073,0.072,0.097,0.119,,0.072
NEFSC-CODGOM-1893-2008-BAUM,CODGOM,Northeast U.S. Shelf,Gadus morhua,Atlantic cod Gulf of Maine,82830,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526,0.405,0.339,0.319,0.324,0.282,0.314,0.452,0.516,0.406,0.28,0.251,0.23,0.212,0.204,0.193,0.193,0.207,0.257,0.323,0.301,0.272,0.266,0.281,0.41,0.63,,0.193
DFO-HAD4X5Y-1960-2003-PREFONTAINE,HAD4X5Y,Northeast U.S. Shelf,Melanogrammus aeglefinus,Haddock NAFO 4X5Y,90386.7,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,0.795,0.585,0.52,0.45,0.478,0.601,0.696,0.796,1,0.973,0.955,0.951,0.875,0.74,0.619,0.549,0.503,0.434,0.372,0.326,0.363,0.427,0.411,0.344,0.373,0.484,0.529,0.509,0.531,0.494,0.674,0.84,0.794,0.85,,,,,,0.326
DFO-HAD5Zejm-1969-2003-PREFONTAINE,HAD5Zejm,Northeast U.S. Shelf,Melanogrammus aeglefinus,Haddock NAFO 5Zejm,61750.2,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,0.647,0.422,0.316,0.218,0.205,0.211,0.223,0.316,0.571,0.654,0.668,0.827,0.69,0.578,0.448,0.371,0.34,0.372,0.36,0.326,0.309,0.317,0.309,0.245,0.208,0.246,0.325,0.384,0.385,0.455,0.515,0.715,0.931,1,1.276,,,,,,0.205
NEFSC-HAD5Y-1956-2008-BAUM,HAD5Y,Northeast U.S. Shelf,Melanogrammus aeglefinus,Haddock NAFO 5Y,5900,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.577,2.242,2.597,2.587,2.519,2.357,1.77,1.174,0.766,0.451,0.234,0.141,0.094,0.12,0.135,0.152,0.157,0.22,0.366,0.489,0.754,1.009,0.989,1.102,1.783,2.316,1.991,1.651,1.32,1.064,0.991,,0.094
DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE,POLL4VWX5Zc,Northeast U.S. Shelf,Pollachius virens,Pollock NAFO 4VWX5Zc,61342.3,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.123,1.252,1.109,0.991,0.825,0.779,0.768,0.713,0.667,0.623,0.507,0.368,0.296,0.302,0.363,0.271,0.181,0.209,0.3,0.352,0.449,0.502,0.53,0.556,,,0.181
RIDEM-TAUTOGRI-1959-2007-COLLIE,TAUTOGRI,Northeast U.S. Shelf,Tautoga onitis,Tautog Rhode Island,1562,Surplus production fit,"OK, different year used",,,,,,,,,,1.475,1.546,1.825,1.919,2,1.907,1.842,1.667,1.572,1.71,1.858,1.968,1.856,1.708,1.732,1.648,1.736,1.541,1.505,1.447,1.218,1.215,0.854,1.028,1.021,1.524,1.233,1.432,0.877,0.848,0.869,0.553,0.615,0.464,0.422,0.343,0.46,0.413,0.439,0.439,0.416,0.414,0.448,0.41,0.578,0.632,0.68,0.793,0.729,,0.343
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,WINFLOUNSNEMATL,Northeast U.S. Shelf,Pseudopleuronectes americanus,Winter flounder Southern New England-Mid Atlantic,38761,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,0.334,0.38,0.36,0.28,0.223,0.19,0.147,0.118,0.111,0.112,0.091,0.072,0.068,0.087,0.092,0.09,0.088,0.097,0.121,0.13,0.1,0.078,0.068,0.054,0.067,0.087,,0.054
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,WINFLOUNDRI,Northeast U.S. Shelf,Pseudopleuronectes americanus,Winter flounder Rhode Island,5478,Surplus production fit,,,,,,,,,,,0.586,0.563,0.584,0.664,0.816,0.939,0.849,0.953,0.827,0.79,0.778,0.675,0.499,0.565,0.619,0.53,0.429,0.433,0.572,0.723,0.791,0.892,0.836,0.751,0.738,0.664,0.597,0.517,0.361,0.318,0.292,0.277,0.281,0.203,0.153,0.204,0.264,0.277,0.28,0.285,0.296,0.289,0.25,0.228,0.249,0.239,0.24,0.235,0.225,,0.153
NEFSC-YELLGB-1935-2008-BAUM,YELLGB,Northeast U.S. Shelf,Limanda ferruginea,Yellowtail flounder Georges Bank,43200,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,0.513,0.342,0.209,0.232,0.193,0.143,0.197,0.252,0.235,0.3,0.257,0.089,0.059,0.074,0.064,0.051,0.097,0.11,0.081,0.104,0.092,0.065,0.068,0.116,0.148,0.168,0.222,0.238,0.215,0.236,0.237,0.136,0.096,0.102,0.221,,0.051
NMFS-MENATLAN-1940-2005-STANTON,MENATLAN,Northeast U.S. Shelf,Brevoortia tyrannus,Atlantic menhaden,1479250,Surplus production fit,,,,,,,1.099,1.195,1.249,1.073,2.075,1.528,1.177,0.803,0.495,0.382,0.367,0.3,0.415,0.34,0.406,0.549,0.537,0.692,0.606,0.523,0.51,0.679,0.66,0.604,0.671,0.805,0.683,0.77,0.603,0.542,0.742,0.728,0.787,0.586,0.724,0.76,0.684,0.779,0.889,0.691,0.803,0.713,0.584,0.493,0.442,0.513,0.535,0.504,0.728,0.588,0.466,,,,0.3
AFWG-CODCOASTNOR-1982-2006-MINTO,CODCOASTNOR,Norwegian Sea,Gadus morhua,Atlantic cod coastal Norway,310163,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.948,0.937,0.822,0.745,0.635,0.68,0.796,0.933,0.975,0.977,0.857,0.872,0.673,0.59,0.513,0.468,0.437,0.517,0.339,0.329,0.272,0.274,,,0.272
SPC-ALBASPAC-1959-2007-JENSEN,ALBASPAC,Pacific High Seas,Thunnus alalunga,Albacore tuna South Pacific Ocean,40420,Surplus production fit,,,,,,,,,,,11.622,11.773,11.695,11.565,11.385,11.123,11.162,10.201,9.246,8.387,7.621,6.84,6.12,5.486,4.923,4.698,4.815,4.897,4.951,4.833,4.779,4.567,4.656,4.787,4.718,4.639,4.551,4.809,5.114,4.941,4.264,3.737,3.611,4.004,4.407,4.233,4.002,4.095,4.896,5.449,5.821,5.566,4.823,4.153,3.725,3.125,2.644,2.456,2.149,,2.149
SPC-BIGEYEWPO-1952-2007-JENSEN,BIGEYEWPO,Pacific High Seas,Thunnus obesus,Bigeye tuna Western Pacific Ocean,102200,Surplus production fit,Changed to biomass timeseries to SSB,,,5.629,5.729,5.847,5.942,5.834,5.784,5.92,5.659,5.153,4.577,4.168,3.648,3.345,3.169,3.06,2.957,2.854,2.786,2.82,2.7,2.626,2.565,2.34,2.166,2.033,1.9,2.02,2.162,2.086,2.036,1.871,1.819,1.871,1.952,2.019,1.958,1.883,1.878,1.796,1.867,1.865,1.846,1.723,1.489,1.416,1.463,1.528,1.46,1.304,1.13,1.01,1.154,1.3,1.194,1.053,2.818,,1.01
SPC-SKJCWPAC-1972-2007-JENSEN,SKJCWPAC,Pacific High Seas,Katsuwonus pelamis,Skipjack tuna Central Western Pacific,894200,Surplus production fit,Changed to biomass timeseries to SSB,,,,,,,,,,,,,,,,,,,,,,,2.831,3.319,3.349,2.811,2.418,2.507,3.036,3.046,3.052,2.892,2.842,3.726,4.188,4.069,4.55,4.696,4.898,3.937,3.83,4.058,3.996,3.369,3.356,3.407,3.455,3.283,4.116,4.627,4.658,4.253,3.966,3.227,3.496,4.038,4.378,6.323,,2.418
SPC-YFINCWPAC-1952-2006-JENSEN,YFINCWPAC,Pacific High Seas,Thunnus albacares,Yellowfin tuna Central Western Pacific,679800,Surplus production fit,Changed to biomass timeseries to SSB,,,2.814,3.446,3.941,3.72,3.395,4.574,5.266,4.918,4.92,5.272,4.144,3.589,3.663,3.632,3.695,3.42,3.218,3.099,3.034,2.902,3.133,2.808,2.5,2.552,2.67,2.219,2.396,2.945,2.891,2.678,2.556,2.704,2.856,2.851,2.865,2.555,2.864,2.864,2.8,2.499,2.383,2.502,2.344,2.152,2.154,2.284,2.044,1.776,1.62,1.44,1.24,1.218,1.321,1.224,3.266,,,1.218
INIDEP-ARGHAKENARG-1985-2007-Parma,ARGHAKENARG,Patagonian Shelf,Merluccius hubbsi,Argentine hake Northern Argentina,602198,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949,0.776,0.519,0.571,0.608,0.642,0.532,0.437,0.466,0.502,0.426,0.333,0.254,0.177,0.203,0.262,0.288,0.236,0.195,0.225,0.177,0.189,,0.177
INIDEP-ARGHAKESARG-1985-2007-Parma,ARGHAKESARG,Patagonian Shelf,Merluccius hubbsi,Argentine hake Southern Argentina,981431,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.412,1.406,1.243,1.053,0.739,0.699,0.658,0.675,0.731,0.76,0.772,0.745,0.613,0.502,0.391,0.403,0.435,0.458,0.565,0.577,0.603,0.539,,0.391
INIDEP-PATGRENADIERSARG-1983-2006-Parma,PATGRENADIERSARG,Patagonian Shelf,Macruronus magellanicus,Patagonian grenadier Southern Argentina,642031,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.567,1.65,1.68,1.656,1.56,1.567,1.53,1.466,1.414,1.354,1.336,1.409,1.888,2.511,2.392,2.44,2.593,2.422,2.464,2.436,2.312,2.147,,,1.336
INIDEP-SBWHITARGS-1985-2007-Parma,SBWHITARGS,Patagonian Shelf,Micromesistius australis,Southern blue whiting Southern Argentina,1478960,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,0.836,0.929,0.977,0.99,1,0.991,0.961,0.92,0.85,0.789,0.722,0.654,0.597,0.539,0.492,0.463,0.446,0.417,0.401,0.379,,0.379
DFO-SG-COD4TVn-1965-2007-PREFONTAINE,COD4TVn,Scotian Shelf,Gadus morhua,Atlantic cod NAFO 4TVn,400354,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,0.504,0.457,0.359,0.321,0.28,0.293,0.404,0.636,0.731,0.774,0.792,0.838,0.913,0.925,1.079,1.178,0.917,0.746,0.614,0.534,0.413,0.309,0.242,0.246,0.25,0.262,0.272,0.279,0.267,0.253,0.243,0.206,0.181,0.182,0.175,0.165,0.154,,0.154
